,album,artist,date,genre,label,score
0,El Mal Querer,Rosalía,November 8 2018,Pop/R&B,Sony,8.8
1,You Won’t Get What You Want,Daughters,November 9 2018,Rock,Ipecac,8.0
2,Wham! Bang! Pow! Let’s Rock Out!,Art Brut,November 24 2018,Rock,Alcopop!,7.0
3,"4AM Mulholland EP,After 4AM EP","Amerie,Amerie",October 26 2018,Pop/R&B," FEENIIX RISING ENTERTAINMENT, FEENIIX RISING ENTERTAINMENT","7.2,7.6"
4,Temporary etc.,Booker Stardrum,December 20 2018,Experimental,NNA Tapes,7.7
5,Pop Ambient 2019,,December 8 2018,,Kompakt,7.6
6,Moondance,Van Morrison,November 25 2018,Rock,Warner Bros.,8.4
7,Ghost Box (Expanded),SUSS,November 26 2018,Experimental,Northern Spy,7.6
8,Poison,Swizz Beatz,November 9 2018,Rap,Epic Records,7.1
9,Lost Time Behind the Moon,Scott Hirsch,December 19 2018,Electronic,Scissor Tail,7.5
10,Acrylic,Leikeli47,November 26 2018,Rap,"Hardcover,RCA",7.6
11,The Lillywhite Sessions,Ryley Walker,November 26 2018,Folk/Country,Dead Oceans,7.8
12,Love in the Time of Lexapro EP,Oneohtrix Point Never,November 26 2018,Experimental,Warp,6.5
13,2 Minute Drills EP,"ALLBLACK,Kenny Beats",November 19 2018,Rap,"Play Runners Association ,D.O.T.S.,EMPIRE",7.4
14,From the Series of Songs “Altogether Unaccompanied”,Helena Deland,October 23 2018,Experimental,Luminelle,7.8
15,Atardecer,Friends of Dean Martinez,March 23 1999,Rock,"Knitting Factory,Knitting Factory",8.3
16,Up a Tree,Looper,March 9 1999,Electronic,Sub Pop,8.1
17,Lover Chanting EP,Little Dragon,November 19 2018,Electronic,Ninja Tune,5.2
18,Creed II: The Album,Mike WiLL Made-It,November 28 2018,Rap,"Eardruma,Interscope",5.7
19,Singles 1989-1991,The Wedding Present,March 9 1999,"Experimental,Rock",Manifesto,5.5
20,Additional Productions,Funkstörung,April 13 1999,Electronic,"!K7,Soma,!K7,Soma",6.8
21,Seven More Minutes,The Rentals,April 13 1999,Rock,"Reprise,Maverick,Reprise,Maverick",5.9
22,Beaucoup Fish,Underworld,April 13 1999,Electronic,"V2,JBO",6.8
23,Places to Visit EP,Saint Etienne,May 14 1999,"Electronic,Rock",Sub Pop,6.4
24,Very Mercenary,The Herbaliser,April 20 1999,"Electronic,Jazz,Pop/R&B","Ninja Tune,Ninja Tune",4.2
25,Uterus and Fire,Old Time Relijun,April 20 1999,"Experimental,Rock",K,0.3
26,The Sound of Music: An Unfinished Symphony in Twelve Parts,Jad Fair,April 20 1999,Rock,"Shimmy Disc,Shimmy Disc",3.7
27,The Magical Sounds of...,Banco De Gaia,May 18 1999,Electronic,"Gecko,Six Degrees,Gecko,Six Degrees",8.0
28,The Hush,Texas,May 18 1999,Rock,"Interscope,Interscope",4.0
29,In the Fishtank,"The Ex,Tortoise",May 18 1999,"Experimental,Metal,Rock","Touch and Go,Konkurrent",6.2
30,Agaetis Byrjun,Sigur Rós,June 1 1999,Rock,Smekkleysa,9.4
31,Livro,Caetano Veloso,June 1 1999,Global,"Atlantic,Nonesuch",9.0
32,"The Astronauts are Sleeping, Volume One",Her Space Holiday,June 1 1999,"Electronic,Rock","Skylab Operations,Skylab Operations",6.9
33,The Only Reason I Feel Secure EP,Pedro the Lion,June 1 1999,Rock,"Made in Mexico,Made in Mexico",8.4
34,Play,Moby,June 1 1999,Electronic,V2,5.0
35,"Hey Boy, Hey Girl EP",The Chemical Brothers,June 1 1999,Electronic,Astralwerks,4.8
36,Performance and Cocktails,Stereophonics,May 25 1999,"Electronic,Rock",V2,4.4
37,The Amateur View,To Rococo Rot,June 8 1999,Electronic,"Mute,City Slang,Mute,City Slang",9.3
38,EEVIAC,Man or Astro-Man?,April 20 1999,Rock,"Touch and Go,Touch and Go",5.9
39,Bourbonitis Blues,Alejandro Escovedo,April 20 1999,Rock,"Bloodshot,Bloodshot",6.1
40,Abductions and Reconstructions,Thievery Corporation,April 20 1999,"Electronic,Jazz,Pop/R&B","Eighteenth Street Lounge,Eighteenth Street Lounge",7.6
41,The Unauthorized Biography of Reinhold Messner,Ben Folds Five,April 27 1999,Rock,Sony 550 Music,3.3
42,The Calendar of Unlucky Days,Euphone,April 27 1999,Rock,"Jade Tree,Jade Tree",5.7
43,Mule Variations,Tom Waits,April 27 1999,Rock,Epitaph,9.5
44,Instrument Soundtrack,Fugazi,April 27 1999,Rock,Dischord,8.0
45,Fight Songs,Old 97's,April 27 1999,Rock,Elektra,4.0
46,"Crashes to Light, Minutes to Its Fall",Cul de Sac,May 4 1999,"Experimental,Rock","Thirsty Ear,Thirsty Ear",7.5
